timestamp,temperature,humidity,wind_speed,pressure,visibility,rainfall,cloud_cover,icon,description,city
2024-12-06 06:00:00,13.32,58,2.25,1013,10000,0.0,0,01d,clear sky,Dehradun
2024-12-06 09:00:00,15.64,48,2.68,1012,10000,0.0,0,01d,clear sky,Dehradun
2024-12-06 12:00:00,13.56,48,1.47,1012,10000,0.0,0,01n,clear sky,Dehradun
2024-12-06 15:00:00,12.1,47,2.55,1014,10000,0.0,0,01n,clear sky,Dehradun
2024-12-06 18:00:00,11.49,45,2.32,1014,10000,0.0,0,01n,clear sky,Dehradun
2024-12-06 21:00:00,11.08,43,2.32,1012,10000,0.0,0,01n,clear sky,Dehradun
2024-12-07 00:00:00,10.54,41,2.11,1012,10000,0.0,0,01n,clear sky,Dehradun
2024-12-07 03:00:00,13.78,36,1.26,1014,10000,0.0,0,01d,clear sky,Dehradun
2024-12-07 06:00:00,19.09,23,2.34,1014,10000,0.0,0,01d,clear sky,Dehradun
2024-12-07 09:00:00,19.67,22,2.46,1012,10000,0.0,0,01d,clear sky,Dehradun
2024-12-07 12:00:00,12.3,39,1.09,1013,10000,0.0,0,01n,clear sky,Dehradun
2024-12-07 15:00:00,10.94,38,2.47,1016,10000,0.0,0,01n,clear sky,Dehradun
2024-12-07 18:00:00,10.33,36,2.59,1015,10000,0.0,0,01n,clear sky,Dehradun
2024-12-07 21:00:00,10.18,36,2.71,1014,10000,0.0,0,01n,clear sky,Dehradun
2024-12-08 00:00:00,9.83,37,2.51,1015,10000,0.0,6,01n,clear sky,Dehradun
2024-12-08 03:00:00,13.23,36,1.82,1016,10000,0.0,2,01d,clear sky,Dehradun
2024-12-08 06:00:00,20.11,14,2.77,1014,10000,0.0,1,01d,clear sky,Dehradun
2024-12-08 09:00:00,20.17,18,2.93,1012,10000,0.0,0,01d,clear sky,Dehradun
2024-12-08 12:00:00,13.77,40,1.13,1012,10000,0.0,49,03n,scattered clouds,Dehradun
2024-12-08 15:00:00,12.81,46,2.17,1014,10000,0.15,100,10n,light rain,Dehradun
2024-12-08 18:00:00,10.49,71,3.73,1014,10000,0.61,100,10n,light rain,Dehradun
2024-12-08 21:00:00,8.64,86,5.1,1015,10000,2.06,100,10n,light rain,Dehradun
2024-12-09 00:00:00,8.44,84,3.92,1014,10000,1.52,100,10n,light rain,Dehradun
2024-12-09 03:00:00,10.55,79,3.14,1015,10000,0.59,99,10d,light rain,Dehradun
2024-12-09 06:00:00,18.4,38,0.96,1015,10000,0.17,95,10d,light rain,Dehradun
2024-12-09 09:00:00,18.53,31,2.05,1013,10000,0.11,57,10d,light rain,Dehradun
2024-12-09 12:00:00,12.77,51,2.73,1015,10000,0.0,76,04n,broken clouds,Dehradun
2024-12-09 15:00:00,10.96,52,2.46,1018,10000,0.0,5,01n,clear sky,Dehradun
2024-12-09 18:00:00,9.83,52,2.7,1018,10000,0.0,3,01n,clear sky,Dehradun
2024-12-09 21:00:00,8.94,50,2.82,1018,10000,0.0,0,01n,clear sky,Dehradun
2024-12-10 00:00:00,8.32,46,2.8,1018,10000,0.0,0,01n,clear sky,Dehradun
